Latitude,Longitude,Date,Depth_m,SST_C,Salinity_PSU,Chlorophyll_mg_m3,Tide,Moon_Phase,Fish_Species,Catch_kg
10.2393,78.1451,2024-01-08,30,26.92,35.75,0.73,Low,Waxing,Anchovy,9.4
9.1883,78.3786,2024-04-17,100,26.85,35.3,1.25,High,Waning,Sardine,63.8
9.7857,77.7675,2024-07-23,70,26.35,33.91,0.98,Low,Full Moon,Seer Fish,40.3
8.3976,78.7059,2023-03-09,20,27.04,35.08,0.92,Low,Waning,Tuna,84.0
8.5904,79.1565,2023-03-21,70,30.65,34.72,1.02,Low,Quarter,Seer Fish,19.2
9.113,78.2701,2024-02-20,5,28.99,35.06,1.23,Low,Quarter,Anchovy,98.5
8.1537,78.044,2023-05-23,50,30.52,34.91,0.1,High,Full Moon,Anchovy,82.0
8.975,78.9448,2023-07-20,10,29.41,33.95,1.18,Low,Waxing,Pomfret,147.5
8.8607,77.7232,2023-01-09,50,30.93,34.21,0.34,Low,New Moon,Tuna,135.7
10.4197,77.5021,2024-07-27,100,30.89,33.33,0.64,High,Full Moon,Anchovy,106.8
8.9857,78.2953,2024-01-27,30,27.91,34.64,1.36,Low,Full Moon,Mackerel,85.5
10.1083,78.4007,2024-03-03,10,27.44,35.62,0.34,High,New Moon,Pomfret,7.3
9.8033,78.7168,2024-03-23,10,26.42,34.93,0.89,Low,Waning,Anchovy,95.4
9.136,78.5603,2024-04-05,30,27.78,33.56,1.25,Low,Full Moon,Pomfret,77.8
9.0271,78.8654,2024-01-11,5,30.89,34.7,1.44,High,Waning,Anchovy,144.5
8.2002,79.3255,2024-06-23,100,30.92,35.34,0.98,High,Waning,Seer Fish,17.8
9.1811,79.3542,2024-11-15,5,29.42,34.62,1.2,High,Quarter,Seer Fish,117.9
9.1722,78.7817,2024-04-25,50,29.67,34.26,1.93,Low,Quarter,Mackerel,10.1
10.3072,79.3736,2024-07-31,20,26.31,34.42,0.42,High,Quarter,Pomfret,95.5
8.717,77.7063,2024-06-01,5,30.26,33.83,0.35,Low,Quarter,Tuna,7.1
8.2789,77.9365,2024-08-28,70,26.76,34.34,1.63,Low,Full Moon,Anchovy,31.2
9.3185,77.5827,2023-03-28,10,28.98,35.47,1.69,Low,Waxing,Mackerel,100.8
9.815,77.9182,2024-08-14,70,30.21,33.16,0.6,High,New Moon,Mackerel,72.3
9.1906,78.6907,2024-06-29,10,27.9,35.12,1.0,High,Waning,Anchovy,6.7
10.3181,78.6221,2024-11-25,20,30.81,35.05,0.18,Low,Waxing,Seer Fish,138.1
10.1459,78.3374,2023-10-01,100,26.49,34.96,0.84,High,Waning,Mackerel,80.4
9.6943,79.983,2023-11-17,50,26.05,33.03,0.23,Low,New Moon,Seer Fish,20.1
9.1149,78.0485,2023-10-18,20,26.97,33.07,0.27,High,Waning,Pomfret,22.7
10.3945,77.716,2024-09-11,10,27.88,35.29,1.33,High,New Moon,Pomfret,31.7
8.7364,79.1512,2023-03-19,70,28.27,35.99,1.56,Low,Quarter,Mackerel,118.2
8.6932,77.656,2024-02-02,20,30.98,33.77,1.64,High,Waxing,Sardine,76.3
10.3215,79.0258,2023-07-02,70,28.46,33.43,1.56,High,Waning,Pomfret,20.4
9.104,78.1475,2023-02-05,5,26.35,35.18,1.58,High,Waxing,Mackerel,99.7
8.0022,77.5946,2024-02-04,20,26.76,33.99,0.84,High,Waning,Pomfret,141.3
9.2267,78.5901,2023-03-13,50,27.13,34.15,1.41,Low,New Moon,Seer Fish,82.6
10.479,78.3336,2023-11-07,30,26.28,35.99,1.33,Low,Waning,Tuna,16.7
9.1491,79.4163,2024-10-25,10,26.88,33.12,0.83,High,Quarter,Pomfret,61.6
8.2669,79.2221,2024-05-13,5,30.43,34.31,0.46,High,Full Moon,Sardine,109.4
9.4824,78.7231,2023-03-06,100,28.7,33.92,1.11,Low,New Moon,Sardine,54.2
8.8443,79.3025,2024-02-20,5,27.06,34.96,1.09,High,Waning,Mackerel,139.1
8.0922,77.854,2024-10-31,5,28.36,35.75,0.19,High,New Moon,Mackerel,96.7
10.2617,79.5518,2023-04-10,30,29.06,35.51,0.22,High,New Moon,Anchovy,91.3
9.5391,77.6578,2023-07-27,30,27.69,35.51,1.5,Low,Quarter,Sardine,146.5
9.4399,77.8433,2023-08-07,100,26.23,33.52,0.22,Low,Full Moon,Anchovy,29.4
8.9248,77.9125,2023-09-07,50,26.2,33.3,1.71,Low,Full Moon,Sardine,132.5
8.2018,77.5181,2023-04-02,70,29.26,35.66,0.89,Low,Full Moon,Mackerel,25.7
8.6774,78.626,2023-09-02,10,29.05,33.11,0.44,Low,Waning,Sardine,95.9
9.9565,78.3696,2023-01-05,50,27.18,33.35,1.11,High,Waning,Tuna,130.1
10.467,78.7689,2024-04-20,100,29.13,33.62,0.2,High,Full Moon,Pomfret,127.3
10.2787,78.7438,2023-06-13,70,30.61,33.16,0.79,High,Waxing,Tuna,53.5
10.0129,79.396,2023-02-14,5,29.7,35.77,0.43,High,Waxing,Seer Fish,21.8
10.2377,79.3035,2024-08-29,50,27.63,33.6,1.39,Low,Full Moon,Sardine,52.3
8.2452,79.3444,2023-07-24,30,30.46,33.22,1.21,High,Waxing,Mackerel,36.3
9.5236,77.9452,2024-01-18,10,28.29,33.58,0.78,Low,Full Moon,Tuna,23.4
9.7305,77.6491,2023-05-20,5,30.26,34.38,0.43,Low,Full Moon,Tuna,92.5
9.9739,79.095,2024-09-18,10,28.89,34.66,0.54,Low,Waning,Anchovy,130.0
8.5411,78.6837,2024-04-18,20,26.07,34.28,1.76,High,Quarter,Anchovy,89.0
10.2296,78.9794,2023-06-02,50,30.49,34.25,0.18,Low,Waning,Sardine,66.7
8.9858,79.5243,2024-12-14,100,26.49,34.49,0.26,High,Waxing,Mackerel,24.2
8.7395,79.1191,2023-04-03,5,28.4,33.91,1.44,High,Waxing,Anchovy,116.9
10.1855,78.5134,2024-01-15,70,28.32,34.9,1.73,High,Waxing,Pomfret,53.3
8.0818,78.5648,2023-10-04,70,30.73,34.63,1.61,High,Waning,Tuna,111.7
8.137,79.8633,2024-11-21,20,30.44,33.33,0.79,High,Quarter,Tuna,30.4
9.397,77.6675,2024-12-27,100,27.02,35.94,0.55,High,Waxing,Pomfret,141.2
9.4503,79.8978,2023-08-03,100,29.73,33.68,0.77,Low,Waning,Pomfret,66.3
8.1361,78.432,2024-04-08,30,28.51,35.49,0.99,Low,Waxing,Seer Fish,58.4
9.6833,79.2331,2023-03-09,10,30.46,34.37,0.25,High,Quarter,Sardine,20.9
8.6899,79.2427,2024-05-23,10,30.37,34.56,1.29,Low,Waxing,Pomfret,83.5
8.3301,78.3668,2024-03-30,70,29.22,33.87,0.22,High,Waning,Pomfret,53.7
9.4468,79.1394,2023-12-01,30,28.97,35.09,1.7,Low,Waxing,Tuna,87.3
10.2457,78.2662,2023-09-24,10,28.42,35.91,1.56,High,Full Moon,Tuna,46.2
10.3905,79.0466,2023-06-14,70,28.68,33.55,0.43,High,Full Moon,Mackerel,22.0
10.4844,78.9363,2024-03-27,20,27.85,33.62,1.44,Low,Quarter,Mackerel,59.1
9.3497,77.9065,2023-11-05,5,30.6,34.21,1.05,High,Waxing,Tuna,27.6
10.4254,78.8654,2024-06-03,20,29.24,33.89,1.8,High,Waning,Pomfret,136.5
9.1053,79.2229,2024-05-05,5,26.7,34.65,0.69,Low,Waning,Mackerel,69.7
8.2312,77.6376,2024-10-18,10,28.92,33.67,1.88,Low,Full Moon,Sardine,17.1
10.1236,79.1927,2023-03-31,50,27.97,34.47,1.25,High,Quarter,Anchovy,26.5
10.1345,78.4241,2024-01-17,5,27.42,34.05,1.96,High,Full Moon,Pomfret,133.7
9.8538,78.539,2024-03-29,20,26.82,35.18,1.81,Low,Full Moon,Seer Fish,91.7
8.3591,78.2581,2024-06-21,20,26.33,35.88,1.54,High,New Moon,Anchovy,97.6
8.6833,77.9372,2024-04-18,70,28.84,35.74,0.48,Low,Quarter,Seer Fish,76.1
10.057,78.255,2024-08-22,20,28.47,35.22,0.53,High,Full Moon,Tuna,48.5
9.6014,79.0914,2023-05-08,70,29.33,33.86,0.44,High,New Moon,Sardine,115.9
9.2326,79.9266,2024-09-05,70,27.81,34.44,0.93,Low,Waxing,Pomfret,123.7
8.933,79.3324,2023-01-18,100,27.3,34.74,0.38,Low,Full Moon,Tuna,28.7
8.6817,78.5488,2023-12-31,5,27.45,34.59,1.88,High,Full Moon,Sardine,91.8
8.4178,78.3065,2023-11-20,100,30.22,35.4,0.62,Low,New Moon,Seer Fish,89.1
10.0583,77.5322,2024-06-14,20,27.87,34.45,0.75,High,New Moon,Mackerel,27.4
8.5528,77.971,2024-07-26,50,29.45,35.86,1.71,High,Waxing,Anchovy,137.8
8.2914,77.8281,2023-01-18,30,27.74,35.07,0.36,Low,Waning,Seer Fish,115.7
8.8551,79.2747,2023-01-30,70,30.07,33.67,1.73,High,Full Moon,Tuna,23.2
8.3255,77.6965,2024-12-08,100,29.92,33.23,1.57,Low,New Moon,Mackerel,20.6
9.9826,78.7837,2023-03-02,30,26.59,33.76,0.23,High,New Moon,Sardine,138.4
8.5135,79.7529,2023-07-09,70,27.76,33.27,1.71,Low,Waning,Tuna,56.1
10.1378,79.452,2024-09-19,10,28.52,33.21,1.66,High,Waning,Mackerel,108.8
10.4107,77.9294,2024-07-04,5,30.87,33.3,0.51,Low,Quarter,Pomfret,90.5
9.0992,79.8944,2023-07-05,100,27.77,34.14,0.51,High,Waxing,Sardine,115.4
8.7857,78.6648,2024-06-16,10,28.48,34.08,0.65,High,New Moon,Tuna,76.6
8.962,78.6424,2023-11-16,70,30.88,34.33,1.15,Low,Waxing,Mackerel,129.2
10.2369,79.5061,2024-11-26,20,26.9,36.0,1.03,High,Waxing,Anchovy,80.8
9.6913,77.798,2024-02-09,30,29.48,35.93,1.51,High,New Moon,Tuna,146.4
8.8466,78.9874,2024-02-18,5,27.16,34.27,1.05,Low,Waxing,Tuna,74.0
9.5079,78.5111,2024-05-11,50,27.39,35.3,0.31,Low,Waxing,Anchovy,38.5
10.356,77.5743,2023-02-24,100,26.34,35.03,1.95,Low,Waning,Pomfret,52.4
8.7569,79.0581,2023-03-20,70,29.76,35.3,1.61,High,Quarter,Pomfret,77.2
9.262,78.8561,2024-07-07,50,26.09,35.29,1.98,High,Waxing,Anchovy,50.6
8.9408,78.6491,2023-02-03,10,28.78,35.58,0.68,High,Waxing,Anchovy,24.5
9.7893,78.7186,2023-04-23,50,29.38,34.98,1.4,Low,Waxing,Seer Fish,128.9
9.2667,78.4785,2024-05-21,50,30.85,34.85,0.77,Low,Quarter,Sardine,9.1
8.1128,79.5923,2023-12-24,100,29.71,33.08,1.79,Low,Waxing,Sardine,67.1
10.4799,78.5298,2023-02-27,70,27.22,33.7,0.69,High,New Moon,Tuna,21.6
8.4244,78.846,2023-02-08,30,29.29,34.27,1.08,Low,Quarter,Sardine,105.9
9.47,79.9644,2024-01-22,50,27.95,34.72,1.64,High,Full Moon,Tuna,77.0
10.0286,79.1685,2023-06-20,50,27.5,35.91,0.48,High,Waning,Mackerel,46.7
8.1188,79.9906,2024-02-16,100,27.13,35.23,0.27,High,Waning,Tuna,44.6
9.4161,78.8277,2024-03-13,10,27.74,33.23,1.67,Low,Waxing,Pomfret,83.3
8.5002,78.5058,2024-10-01,50,28.27,35.29,0.44,High,Waning,Mackerel,88.6
8.5324,79.9053,2024-04-23,20,30.69,34.6,1.27,Low,Waning,Pomfret,95.9
9.3057,78.4107,2023-06-01,10,26.75,35.06,0.67,Low,Waxing,Tuna,129.7
10.2778,79.0848,2024-02-27,20,30.12,34.94,0.59,High,Waxing,Mackerel,21.5
8.4798,78.114,2023-11-14,30,28.43,35.97,0.9,High,Full Moon,Mackerel,44.5
8.0729,79.4742,2023-10-12,70,28.75,34.93,0.18,Low,New Moon,Sardine,129.6
8.2098,79.004,2023-03-07,30,30.48,35.02,1.78,Low,Full Moon,Mackerel,21.2
9.8362,79.8323,2024-06-18,70,30.14,35.85,1.87,Low,Waxing,Sardine,39.5
8.3057,79.5167,2023-12-04,100,28.92,34.17,1.52,High,Waxing,Mackerel,25.9
8.4379,79.9248,2024-03-26,30,27.27,34.77,1.03,Low,New Moon,Tuna,84.1
9.1871,78.1159,2023-10-12,100,30.68,34.09,1.46,Low,New Moon,Pomfret,145.2
9.5145,79.6037,2024-11-09,100,30.7,35.07,1.6,High,Quarter,Seer Fish,60.8
9.5974,79.2515,2024-12-02,5,28.67,33.71,0.94,High,Waxing,Tuna,48.6
10.3408,79.3917,2023-11-01,10,30.3,33.48,0.93,Low,Waxing,Sardine,44.7
8.2002,79.4486,2024-05-18,30,29.68,35.78,0.73,Low,New Moon,Mackerel,106.3
9.2658,78.3796,2024-09-08,70,30.07,35.21,0.96,High,New Moon,Pomfret,98.0
9.5754,79.4775,2023-05-20,5,28.0,34.88,0.7,High,New Moon,Mackerel,41.2
9.7839,79.419,2024-10-26,100,26.65,34.78,0.88,Low,Waxing,Anchovy,131.7
8.3338,77.9337,2024-08-30,100,27.64,33.85,0.26,Low,Full Moon,Anchovy,132.1
10.3619,79.7109,2023-08-18,5,30.74,35.77,1.33,High,New Moon,Anchovy,33.7
9.7532,77.9219,2024-02-15,50,28.14,33.78,0.27,Low,Full Moon,Seer Fish,22.0
9.7965,78.5879,2024-04-09,100,29.37,33.36,1.46,High,Quarter,Tuna,113.2
8.9552,78.5783,2023-07-31,50,27.08,35.47,1.48,High,Waxing,Mackerel,64.2
8.3649,78.2255,2023-09-26,10,29.09,35.72,0.8,Low,New Moon,Sardine,73.0
10.1786,79.936,2024-02-12,70,27.06,34.15,0.9,Low,New Moon,Sardine,85.8
8.1303,79.8277,2024-04-27,20,30.98,35.82,1.94,High,New Moon,Tuna,78.2
8.9523,79.9438,2024-11-18,20,26.66,35.68,0.18,High,Quarter,Mackerel,78.0
10.3258,79.6947,2023-05-16,5,27.59,34.59,0.37,High,Quarter,Sardine,146.9
9.248,79.9334,2023-10-15,70,27.8,34.29,1.82,Low,Waning,Tuna,80.0
9.0894,77.9125,2024-05-18,100,30.75,34.67,1.85,Low,New Moon,Mackerel,26.6
8.5747,77.5897,2023-09-24,10,29.53,34.31,1.99,Low,New Moon,Anchovy,56.7
9.7726,78.713,2024-05-19,5,30.23,35.6,0.33,High,Full Moon,Tuna,31.2
8.4207,78.7718,2023-10-07,50,30.45,34.76,1.21,High,Waning,Seer Fish,31.2
10.301,78.1154,2024-05-25,70,26.47,33.99,0.64,High,Waxing,Tuna,90.6
10.378,79.5924,2023-06-07,5,26.41,35.49,1.35,Low,Quarter,Seer Fish,100.4
8.8236,77.6096,2024-09-29,30,27.62,35.19,1.5,High,Full Moon,Sardine,121.2
8.7074,79.4954,2023-03-14,50,30.76,34.14,0.86,High,Full Moon,Anchovy,17.9
10.1309,77.9074,2024-02-17,20,29.24,35.86,0.39,Low,Waxing,Anchovy,111.7
10.3042,79.7593,2024-09-09,10,27.8,33.29,0.8,High,Waxing,Anchovy,133.4
9.1911,78.9076,2024-03-09,5,29.78,35.43,1.27,Low,Waxing,Sardine,10.9
8.8544,78.6588,2023-08-18,70,29.43,33.47,1.04,High,Quarter,Anchovy,68.4
10.268,78.694,2023-06-02,10,29.42,33.9,0.57,Low,Quarter,Seer Fish,11.9
8.1913,77.6127,2023-04-21,50,28.12,33.28,1.36,Low,Quarter,Tuna,89.9
9.9216,77.5407,2024-11-08,30,26.9,33.55,0.85,High,Waxing,Pomfret,48.2
9.468,78.6375,2024-11-17,30,29.12,33.8,1.94,High,Full Moon,Mackerel,16.3
10.4555,78.1483,2024-11-20,5,28.17,33.05,0.85,High,Full Moon,Pomfret,74.2
9.7295,79.672,2024-09-08,70,28.43,34.86,1.95,Low,Waxing,Tuna,17.7
8.3378,77.977,2023-01-17,70,30.85,35.58,0.5,High,Full Moon,Anchovy,127.1
10.1455,78.8465,2023-03-30,20,29.85,33.44,0.9,High,Full Moon,Mackerel,112.1
9.1132,78.7126,2023-01-21,100,28.25,33.73,0.66,Low,New Moon,Tuna,6.1
9.576,79.2827,2024-03-01,100,28.48,34.74,1.49,Low,New Moon,Anchovy,63.0
9.2834,79.3115,2024-11-25,100,30.34,33.7,0.22,High,Waxing,Seer Fish,50.8
8.1588,79.7322,2024-03-03,30,26.58,34.87,1.33,Low,Waxing,Sardine,28.4
9.8155,78.6731,2024-03-24,10,28.54,34.76,1.4,Low,Full Moon,Tuna,109.8
8.9759,78.5422,2024-11-20,70,29.67,35.39,1.62,High,Waning,Mackerel,46.0
9.8731,79.1676,2023-05-13,10,27.0,34.82,0.29,Low,Waxing,Tuna,39.0
9.3921,79.9982,2024-01-03,20,27.79,33.48,1.67,High,New Moon,Tuna,67.4
9.5439,77.8017,2023-08-18,30,27.29,34.02,0.77,High,Waning,Tuna,135.0
10.1335,79.6842,2024-09-10,70,26.52,33.15,1.9,Low,New Moon,Sardine,118.3
9.5241,79.646,2023-04-15,100,28.81,34.52,0.42,High,Full Moon,Tuna,27.8
8.7303,78.6038,2024-06-02,30,29.66,33.3,1.33,Low,Full Moon,Sardine,128.0
9.0978,78.5394,2023-01-07,10,30.17,34.42,0.64,High,New Moon,Tuna,59.0
9.8871,78.4016,2024-11-11,10,26.76,35.26,0.9,High,Full Moon,Anchovy,64.9
9.0233,78.6469,2024-06-12,100,29.41,35.83,0.94,High,Waning,Sardine,17.3
8.787,79.9549,2023-06-18,30,26.31,35.28,1.35,High,Waning,Sardine,146.8
10.4501,79.4977,2024-06-16,20,28.1,35.66,1.43,Low,Quarter,Tuna,6.1
8.6995,78.8195,2023-05-31,70,28.02,34.93,1.79,Low,Quarter,Pomfret,63.7
8.4932,78.2538,2023-02-07,50,27.67,35.18,1.51,High,Waning,Seer Fish,46.2
8.232,78.8795,2024-06-17,20,29.79,33.48,0.15,Low,Full Moon,Tuna,110.3
10.4674,77.7761,2023-03-03,100,27.86,34.88,0.77,High,New Moon,Anchovy,48.2
9.8421,78.6329,2023-08-30,100,29.73,34.74,1.46,High,Quarter,Tuna,46.3
9.962,79.2871,2024-11-19,10,29.57,34.56,0.57,Low,Waning,Seer Fish,32.9
9.9464,78.6358,2023-05-31,70,28.13,34.24,0.28,Low,Full Moon,Anchovy,36.1
8.1952,79.1921,2024-02-17,50,28.79,35.34,1.76,Low,Waxing,Anchovy,104.9
10.3696,79.3293,2024-03-02,100,26.81,34.52,1.02,Low,Full Moon,Pomfret,79.4
9.3229,79.2362,2024-04-11,30,26.16,33.47,1.16,High,Waning,Anchovy,21.0
8.924,78.224,2024-06-19,10,26.59,33.91,0.81,Low,Waxing,Sardine,119.7
8.3553,78.9741,2023-02-19,20,30.45,33.65,1.66,Low,New Moon,Sardine,84.4
8.1689,77.6117,2024-05-07,50,27.55,34.36,0.74,Low,Waxing,Pomfret,125.9
8.332,77.8463,2024-10-13,30,29.81,35.0,0.38,Low,New Moon,Seer Fish,101.4
9.0241,78.0821,2024-02-09,20,28.7,35.87,1.79,Low,New Moon,Mackerel,107.5
9.43,79.4904,2024-12-25,20,28.81,33.37,1.16,High,Waning,Seer Fish,88.6
8.1322,78.9256,2023-07-13,100,28.38,35.69,0.33,High,New Moon,Tuna,119.1
8.6132,79.264,2024-08-16,30,26.42,34.6,0.71,High,Waxing,Sardine,54.3
8.4513,77.5601,2024-06-24,20,27.91,33.27,1.96,High,Quarter,Mackerel,31.5
9.9208,77.8856,2024-02-22,70,26.85,34.84,0.72,High,New Moon,Tuna,61.5
8.8001,78.5321,2023-11-28,20,27.88,35.48,0.33,High,Full Moon,Seer Fish,90.0
9.2324,79.381,2024-01-30,5,27.35,33.96,1.15,High,Waxing,Sardine,64.1
8.5844,79.7154,2023-10-03,50,30.82,35.03,0.57,High,Quarter,Seer Fish,64.0
8.2098,79.0895,2023-07-28,100,30.84,34.12,1.97,High,Waning,Anchovy,144.4
9.3879,77.6045,2024-04-20,100,29.1,34.96,0.42,High,Waxing,Tuna,91.7
10.0987,78.4504,2023-12-26,100,29.16,34.76,1.07,High,Full Moon,Pomfret,82.4
8.1748,77.7243,2024-12-16,5,30.15,35.18,2.0,Low,Full Moon,Seer Fish,78.2
10.0051,79.7098,2023-12-17,70,27.31,35.26,0.96,High,Quarter,Tuna,35.5
10.3975,78.3211,2024-12-09,10,29.23,33.01,1.01,High,Full Moon,Anchovy,85.6
9.7412,78.7224,2024-02-07,50,26.41,35.63,1.34,High,Waxing,Pomfret,22.9
10.4301,78.4409,2024-09-07,20,27.93,35.52,1.64,High,New Moon,Anchovy,58.7
8.4825,77.5234,2023-01-21,100,27.41,35.76,0.78,High,Waning,Pomfret,49.0
9.7945,78.0856,2024-05-20,20,26.18,34.48,1.44,High,New Moon,Mackerel,147.7
9.5961,77.7774,2023-10-12,50,28.5,33.51,0.47,High,New Moon,Seer Fish,23.6
8.1626,78.1491,2024-08-06,100,27.14,34.57,1.59,High,New Moon,Pomfret,103.3
9.5361,79.2017,2024-04-09,5,30.69,34.92,1.89,High,Quarter,Anchovy,127.4
9.0172,77.8043,2024-06-14,30,28.48,34.55,0.18,High,New Moon,Tuna,138.2
9.331,78.2906,2024-02-06,10,27.67,35.64,1.63,High,Waxing,Sardine,138.0
8.4922,78.3231,2023-03-06,70,29.13,33.08,0.92,High,Waning,Pomfret,140.6
10.1013,78.1179,2024-04-29,10,30.79,35.5,1.66,High,New Moon,Seer Fish,94.8
9.9102,79.0634,2024-08-15,5,26.43,33.18,0.16,Low,New Moon,Mackerel,14.0
10.006,77.637,2024-09-17,70,28.16,33.31,0.21,High,Quarter,Anchovy,63.2
9.5433,78.5278,2024-09-05,100,29.3,33.03,0.83,Low,Waning,Seer Fish,19.7
9.6273,79.1894,2023-01-27,30,28.59,34.76,0.31,High,Waning,Pomfret,14.8
9.9735,77.984,2024-08-09,10,29.19,33.77,0.9,Low,Full Moon,Mackerel,25.0
8.1102,77.8192,2024-08-21,30,28.57,34.96,0.78,High,Full Moon,Anchovy,49.8
8.8573,78.4221,2023-01-09,50,28.93,35.03,0.21,High,Waxing,Tuna,33.3
8.5009,79.7713,2023-03-12,20,26.95,34.43,1.41,Low,Waning,Pomfret,53.0
9.446,79.9077,2024-09-22,20,28.09,33.49,0.96,High,Waxing,Mackerel,138.4
9.5969,79.2331,2024-04-22,50,27.07,34.44,1.56,Low,Waxing,Mackerel,63.0
10.0652,77.5168,2023-01-11,5,27.79,34.66,0.37,Low,Full Moon,Pomfret,89.9
9.9138,77.6098,2023-01-31,10,26.99,33.52,1.78,High,Quarter,Seer Fish,40.7
8.49,77.9402,2023-09-26,5,26.1,35.03,0.82,High,Quarter,Mackerel,49.2
8.6004,79.5237,2024-11-07,10,30.71,35.93,2.0,Low,New Moon,Sardine,25.9
10.3104,79.4872,2023-07-16,50,27.89,34.12,1.24,High,New Moon,Seer Fish,90.2
10.1361,78.2355,2023-06-02,20,27.24,34.89,0.63,High,Waning,Seer Fish,133.4
8.5231,77.7035,2024-04-26,100,29.32,33.19,1.07,Low,Waxing,Seer Fish,72.3
8.8046,78.4347,2024-12-12,30,29.58,34.48,0.61,Low,Waning,Pomfret,10.3
8.5488,78.0075,2023-08-29,30,27.09,34.28,0.82,High,Quarter,Tuna,84.8
8.3358,77.7101,2024-03-31,50,27.76,34.75,0.98,Low,Waxing,Anchovy,72.8
9.0224,79.5113,2023-11-21,20,27.91,33.54,0.54,High,Quarter,Sardine,47.7
9.2544,78.8666,2023-03-22,100,27.38,33.68,0.33,Low,New Moon,Seer Fish,34.0
8.4916,78.3231,2023-11-06,70,30.08,35.05,0.62,High,Waning,Tuna,6.2
8.7487,79.5558,2024-02-18,30,30.11,35.27,0.12,High,Waxing,Mackerel,37.9
9.8728,78.6861,2024-06-12,50,29.93,35.27,1.47,Low,Quarter,Sardine,50.4
8.4696,79.4253,2024-12-15,30,27.05,34.35,1.16,Low,Full Moon,Seer Fish,131.7
8.7639,79.3445,2024-05-26,100,29.29,34.06,0.53,Low,Waxing,Pomfret,83.0
8.8152,77.5581,2023-02-02,10,26.77,35.86,0.73,Low,Waxing,Mackerel,142.6
8.1593,78.4661,2024-05-01,5,27.64,35.89,1.31,Low,New Moon,Mackerel,20.1
9.3823,77.5801,2024-12-06,50,28.44,33.56,0.23,Low,Quarter,Mackerel,38.8
9.6489,77.6749,2023-02-28,20,28.59,33.52,1.73,Low,Waxing,Mackerel,148.5
8.3228,78.546,2023-03-12,30,30.78,35.6,0.35,High,Quarter,Anchovy,123.6
9.662,77.897,2024-08-11,20,28.94,34.51,1.4,Low,Full Moon,Sardine,148.7
